VAR_INPUT	Enable	BOOL		Cho phep khoi FB hoat dong
VAR_INPUT	ResetErr	BOOL		Nut reset loi he thong
VAR_INPUT	DAC_CH1_Set	WORD		Cai dat DAC CH1 (0..1000)
VAR_INPUT	DAC_CH2_Set	WORD		Cai dat DAC CH2 (0..1000)
VAR_INPUT	DAC_CH3_Set	WORD		Cai dat DAC CH3 (0..1000)
VAR_INPUT	DAC_CH4_Set	WORD		Cai dat DAC CH4 (0..1000)
VAR_INPUT	DAC_CH5_Set	WORD		Cai dat DAC CH5 (0..1000)
VAR_INPUT	DAC_CH6_Set	WORD		Cai dat DAC CH6 (0..1000)
VAR_INPUT	DAC_CH7_Set	WORD		Cai dat DAC CH7 (0..1000)
VAR_INPUT	DAC_CH8_Set	WORD		Cai dat DAC CH8 (0..1000)
VAR_INPUT	DO_Y8_Cmd	BOOL		Lenh ngo ra Y8 St 4 (M1304)
VAR_INPUT	DO_Y9_Cmd	BOOL		Lenh ngo ra Y9 St 4 (M1305)
VAR_OUTPUT	CCLink_OK	BOOL		Trang thai mang CC-Link OK
VAR_OUTPUT	HasError	BOOL		Bao loi tong truyen thong module
VAR_OUTPUT	ADC_CH1_Val	WORD		Gia tri % ADC CH1 (0..1000)
VAR_OUTPUT	ADC_CH2_Val	WORD		Gia tri % ADC CH2 (0..1000)
VAR_OUTPUT	ADC_CH3_Val	WORD		Gia tri % ADC CH3 (0..1000)
VAR_OUTPUT	ADC_CH4_Val	WORD		Gia tri % ADC CH4 (0..1000)
VAR_OUTPUT	ADC_CH1_Raw	WORD		Gia tri tho D500 ADC CH1
VAR_OUTPUT	ADC_CH2_Raw	WORD		Gia tri tho D501 ADC CH2
VAR_OUTPUT	ADC_CH3_Raw	WORD		Gia tri tho D502 ADC CH3
VAR_OUTPUT	ADC_CH4_Raw	WORD		Gia tri tho D503 ADC CH4
VAR_OUTPUT	DI_X0_State	BOOL		Trang thai ngo vao X0 St 4 (M1104)
VAR_OUTPUT	DI_X1_State	BOOL		Trang thai ngo vao X1 St 4 (M1105)
